WSJ1829:0	[Silicon Valley] :[/LOCATION] heaved a sigh of relief yesterday .
WSJ1839:2	And if I think that some people { on [HUD] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] Secretary [Jack Kemp] :[/PERSON] 's } staff are off base in terms in which they 're evaluating certain things affecting my hometown , I have to tell you something -- I 'm not going to take it .

WSJ1840:0	The [Chicago Mercantile Exchange] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said it fined [Capcom Futures Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] $ 500,000 and accepted its withdrawal from membership as part of a settlement of disciplinary actions against the firm .

WSJ1840:1	[Capcom Futures] :[/ORGANIZATION] is a [Chicago] :[/GPE,/GPE/CITY] subsidiary of [Capcom Financial Services Ltd.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a [London] :[/GPE,/GPE/CITY] financial firm that was implicated last year in a scheme to launder drug money .

WSJ1840:3	The firm was indicted in [Tampa] :[/GPE,/GPE/CITY] , [Fla.] :[/GPE,/GPE/CITY] , on money-laundering charges .

WSJ1840:4	In June , the [Chicago Board of Trade] :[/PERSON] said it suspended [Capcom Financial] :[/PERSON] .

WSJ1840:5	The [Capcom Futures] :[/ORGANIZATION] unit withdrew from Board of Trade membership voluntarily in August , a [Board of Trade] :[/LOCATION/REGION,/LOCATION,/FACILITY/AIRPORT,/ORGANIZATION/HOSPITAL,/LANGUAGE,/FACILITY/HIGHWAY_STREET,/PRODUCT,/SUBSTANCE/FOOD,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT,/PRODUCT/WEAPON,/ORGANIZATION/EDUCATIONAL,/PERSON,/FACILITY,/CONTACT_INFO,/CONTACT_INFO/url,/EVENT/HURRICANE,/LAW,/ORGANIZATION/RELIGIOUS,/WORK_OF_ART/SONG] spokesman said .

WSJ1840:6	[Capcom Futures] :[/ORGANIZATION] , while neither admitting nor denying the Merc charges , said in a statement that the Merc charges were `` technical in nature '' and that `` no customers were hurt '' as a result of the violations cited by the [Merc] :[/ORGANIZATION/MUSEUM,/GPE/COUNTRY,/GPE,/SUBSTANCE/DRUG,/GPE/CITY,/ORGANIZATION/GOVERNMENT,/LOCATION/CONTINENT,/LOCATION/REGION,/LOCATION,/FACILITY/AIRPORT,/ORGANIZATION/HOSPITAL,/LANGUAGE,/FACILITY/HIGHWAY_STREET,/PRODUCT,/PLANT,/SUBSTANCE/FOOD,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT,/GAME,/LOCATION/RIVER,/PRODUCT/WEAPON,/ORGANIZATION/EDUCATIONAL,/EVENT/WAR,/DISEASE,/PERSON,/FACILITY/BUILDING,/FACILITY,/CONTACT_INFO,/CONTACT_INFO/url,/SUBSTANCE/CHEMICAL,/FACILITY/ATTRACTION,/GPE/STATE_PROVINCE,/LAW,/PRODUCT/VEHICLE,/ORGANIZATION/POLITICAL,/ORGANIZATION/RELIGIOUS,/WORK_OF_ART/SONG,/EVENT/HURRICANE] .

WSJ1840:7	The [Merc] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] alleged that , among other things , from April 1987 through October 1988 Capcom Futures failed to document trades between Capcom Futures and people or entities directly or indirectly controlled by [Capcom Futures] :[/ORGANIZATION/MUSEUM,/GPE,/SUBSTANCE/DRUG,/GPE/CITY,/ORGANIZATION/GOVERNMENT,/LOCATION/REGION,/LOCATION,/FACILITY/AIRPORT,/ORGANIZATION/HOSPITAL,/LANGUAGE,/FACILITY/HIGHWAY_STREET,/LOCATION/LAKE_SEA_OCEAN,/PRODUCT,/PLANT,/SUBSTANCE/FOOD,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT,/GAME,/LOCATION/RIVER,/PRODUCT/WEAPON,/ORGANIZATION/EDUCATIONAL,/EVENT/WAR,/DISEASE,/PERSON,/FACILITY/BUILDING,/FACILITY,/CONTACT_INFO,/CONTACT_INFO/url,/SUBSTANCE/CHEMICAL,/FACILITY/ATTRACTION,/GPE/STATE_PROVINCE,/LAW,/PRODUCT/VEHICLE,/ORGANIZATION/POLITICAL,/ORGANIZATION/RELIGIOUS,/WORK_OF_ART/SONG,/EVENT/HURRICANE] shareholders .

WSJ1844:0	[Della Femina McNamee WCRS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] agency created liar [Joe Isuzu] :[/PERSON] , among others -- announced a massive restructuring that largely removes it from the advertising business and includes selling the majority of its advertising unit to Paris-based [Eurocom] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1844:1	[WCRS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] from primarily a creator of advertising into one of [Europe] :[/LOCATION/REGION,/LOCATION] 's largest buyers of advertising time and space .

WSJ1844:2	It also creates a newly merged world-wide ad agency controlled by [Eurocom] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and headed jointly by [New York] :[/GPE] ad man [Jerry Della Femina] :[/PERSON] and two top [WCRS] :[/ORGANIZATION] executives .

WSJ1844:4	[WCRS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's restructuring reflects the growing importance of media buying in [Europe] :[/LOCATION] , where the only way to get a good price on advertising time and space is to buy it in bulk .

WSJ1844:5	For [Eurocom] :[/ORGANIZATION] , meanwhile , the move gives it a strong [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] foothold in [Della Femina] :[/PERSON] , and more than quadruples the size of its ad agency business world-wide .

WSJ1844:6	It also gives the outspoken Mr. [Della Femina] :[/WORK_OF_ART] -- who often generates as much publicity for himself as for his clients -- an international platform that he most certainly wo n't be loath to use .

WSJ1844:7	According to terms , [WCRS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] will pay 2.02 billion French francs ( $ 318.6 million ) for the 50 % it does n't already own of [Carat Holding S.A.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , one of [Europe] :[/LOCATION/REGION,/LOCATION] 's largest media buyers .

WSJ1844:8	Meanwhile , [Eurocom] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , which had held 20 % of [WCRS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's ad unit , will pay # 43.5 million ( $ 68.5 million ) to raise its stake to 60 % .

WSJ1844:9	That price also covers [Eurocom] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] raising to 60 % its 51 % stake in [Europe] :[/LOCATION/REGION,/LOCATION] 's [Belier Group] :[/ORGANIZATION] , a joint venture ad agency network it owns with [WCRS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1844:10	[Eurocom] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] will also have the right to buy the remaining 40 % of the merged ad agency group in six years .

WSJ1844:11	The transaction places the three executives squarely at the helm of a major agency with the rather unwieldy name of [Eurocom WCRS Della Femina Ball Ltd.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , or [EWDB] :[/SUBSTANCE] .

WSJ1844:12	The merged agency will include [Della Femina McNamee] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] based in [New York] :[/GPE] , [Eurocom] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's various agencies in [France] :[/GPE/COUNTRY,/GPE] , the [Belier Group] :[/ORGANIZATION] in [Europe] :[/LOCATION] and [WCRS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's other advertising and direct marketing operations .

WSJ1844:13	Mr. [Della Femina] :[/PERSON] will be joint chairman with former [WCRS] :[/ORGANIZATION] executive [Robin Wight] :[/WORK_OF_ART] .

WSJ1844:14	Both will report to [Tim Breene] :[/PERSON] , a former [WCRS] :[/PERSON] executive who will be chief executive officer at the new agency .

WSJ1844:15	In an interview in [New York] :[/GPE] , Mr. [Breene] :[/PERSON] , fresh from a [Concorde] :[/GPE] flight from [Paris] :[/GPE] where executives had worked through most of the night , outlined big plans for the new agency .

WSJ1844:18	He added that [Eurocom] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [WCRS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] had agreed to provide a development fund of # 100 million for acquisitions .

WSJ1844:19	The new agency group is already in discussions about a possible purchase in [Spain] :[/GPE] , while Mr. [Breene] :[/GPE,/GPE/CITY] said it also plans to make acquisitions in [Scandinavia] :[/LOCATION] , [Germany] :[/GPE/COUNTRY,/GPE] and elsewhere .

WSJ1844:21	[Della Femina] :[/WORK_OF_ART] had billings of just $ 660 million last year and ranked as the [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] 's 24th-largest ad agency .

WSJ1844:22	The merged company that it now becomes part of will have billings of just more than $ 2.6 billion -- most of that in [Europe] :[/LOCATION/REGION,/LOCATION] -- bringing it to about 14th world-wide .

WSJ1844:23	[Grey Advertising] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , D'Arcy Masius Benton & amp ; Bowles and [Omnicom] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's [DDB Needham] :[/ORGANIZATION] .

WSJ1844:25	When [WCRS] :[/ORGANIZATION] created [Della Femina McNamee] :[/WORK_OF_ART] out of the merger of three smaller agency units in 1988 , it said it did so in order to attract larger clients , especially packaged-goods companies .

WSJ1844:26	Since then , [Della Femina] :[/WORK_OF_ART] won [Pan Am] :[/ORGANIZATION] as an international client and also does work for a few packaged-goods clients , including [Dow Chemical Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's [Saran Wrap] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1844:27	[Colgate-Palmolive] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Unilever] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] -- have steadfastly eluded the agency .

WSJ1844:29	Still , the restructuring could create one of the most powerful alliances between advertising and media-buying firms that [Europe] :[/LOCATION] has seen .

WSJ1844:30	As part of the restructuring , [WCRS] :[/ORGANIZATION] and [Eurocom] :[/ORGANIZATION] said they will look for ways to combine their media buying across [Europe] :[/LOCATION] .

WSJ1844:31	What 's more , both Eurocom and brothers [Francis] :[/PERSON] and [Gilbert Gross] :[/PERSON] , who founded Carat , will acquire 14.99 % stakes in [WCRS Group] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , creating a powerful link between [Eurocom] :[/ORGANIZATION] and [Carat] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1844:32	Carat will receive its WCRS stake as part of payment for the 50 % [Carat] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] stake that WCRS is buying , while [Eurocom] :[/ORGANIZATION] said it expects to pay about # 32 million for its [WCRS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] stake .

WSJ1844:33	Mr. [Della Femina] :[/PERSON] says he plans to remain heavily involved in the creative product at the world-wide agency , serving as a sort of `` creative conscience . ''

WSJ1844:34	[Louise McNamee] :[/PERSON] , [Della Femina] :[/WORK_OF_ART] 's president , will continue running the [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] agency day-to-day .

WSJ1844:35	They and other top executives signed long-term employment contracts and Mr. [Della Femina] :[/PERSON] will receive an additional multimillion-dollar sum , which some industry executives pegged at about $ 10 million .

WSJ1844:36	[WCRS Group] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , for its part , will now be able to follow its longstanding plan of becoming `` a holding company for a series of media-related businesses , '' said [Peter Scott] :[/PERSON] , the firm 's chief executive .

WSJ1844:37	In addition to [Carat] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [WCRS] :[/ORGANIZATION] will hold onto its public relations , TV programming and other businesses .

WSJ1844:38	[WCRS] :[/ORGANIZATION] says its debt will be cut to # 24 million from # 66 million as a result of the transaction .

WSJ1844:39	For [Carat] :[/ORGANIZATION] , meanwhile , the alliance with [Eurocom] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [WCRS] :[/ORGANIZATION] is intended to strengthen its own push outside [France] :[/GPE/COUNTRY,/GPE] .

WSJ1844:40	[Carat] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's [Gross] :[/PERSON] brothers invented the idea of large-scale buying of media space .

WSJ1844:42	They thus have won the French space-buying business of such advertising giants as [Coca-Cola Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Fiat S.p . A.] :[/PERSON] , [Gillette] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Kodak] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1844:43	But now , other agencies are getting into the business with their own competing media-buying groups -- and [Carat] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] wants to expand to the rest of [Europe] :[/LOCATION] .

WSJ1844:44	To help finance the [Carat] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] purchase , [WCRS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said it plans an issue of [Euroconvertible] :[/PRODUCT,/PRODUCT/VEHICLE] preferred shares once the market settles down .

WSJ1844:45	[WCRS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] added that `` in the light of the current uncertainty in the equity markets , '' it has arranged medium-term debt financing , which would be underwritten by Samuel Montagu & amp ; Co. Ltd .

WSJ1844:47	Tuesday 's earthquake brought the [San Francisco] :[/GPE,/GPE/CITY] ad scene to a screeching halt yesterday , with only a few staffers showing up at their offices , mainly to survey the damage or to wring their hands about imminent new-business presentations .

WSJ1844:48	While no agencies reported injuries to employees , the quake damaged the offices of [J. Walter Thompson] :[/LOCATION] , [Chiat\/Day\/Mojo] :[/PERSON] and [DDB Needham] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , among others , spokesmen for those agencies said .

WSJ1844:49	Staffers at [Thompson] :[/LOCATION] , whose offices are in the ultramodern [Embarcadero Center] , watched pictures drop from the walls and then felt the skyscraper sway seven to eight feet , according to a spokeswoman .

WSJ1844:50	Plaster fell and windows were broken at [Chiat\/Day\/Mojo] :[/PERSON] , a spokesman for that agency said .

WSJ1844:51	Late yesterday afternoon , [DDB Needham] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] executives were scrambling to figure out what to do about a new business presentation that had been scheduled for today , a spokesman said .

WSJ1844:52	[DDB Needham] :[/ORGANIZATION] 's office building may have sustained structural damage , the spokesman added .

WSJ1844:54	[Thompson and Foote] :[/PERSON] , Cone & amp ; Belding , said some employees who live outside of [San Francisco] :[/GPE,/GPE/CITY] , fearful that they would n't be able to get home , spent the night at the agency .

WSJ1844:57	[Chesebrough-Pond 's Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Greenwich] :[/GPE,/GPE/CITY] , [Conn.] :[/GPE,/GPE/STATE_PROVINCE] , awarded its [Faberge] :[/PERSON] hair care accounts to [J. Walter Thompson] :[/PERSON] , [New York] :[/GPE] .

WSJ1844:58	[Thompson] :[/LOCATION] , a unit of [WPP Group] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , will handle [Faberge Organic] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] shampoo and conditioner and [Aqua Net] :[/ORGANIZATION] hairspray .

WSJ1844:59	The accounts , which billed about $ 7 million last year , according to [Leading National Advertisers] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , were previously handled at [Bozell] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [New York] :[/GPE] .

WSJ1844:61	[William Morrissey] :[/PERSON] , 44 , was named executive vice president , world-wide director of [McCann Direct] :[/ORGANIZATION] , the direct marketing unit of [Interpublic Group] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's [McCann-Erickson] :[/PERSON] agency .

WSJ1844:62	.

WSJ1844:63	[BOZELL] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] :

WSJ1844:64	[Los Angeles] :[/GPE,/GPE/CITY] will be the site of a new entertainment division for the ad agency .

WSJ1844:65	The division will be headed by [Dick Porter] :[/LOCATION] , who returns to [Bozell] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] after being vice president of media at [MGM] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1844:66	:

WSJ1844:67	[] :[/PERSON] [California] :[/GPE,/GPE/STATE_PROVINCE] offices , previously called AC & amp ; R\/CCL Advertising , will now be called AC & amp ; R Advertising to match the name of its [New York] :[/GPE] office .

WSJ1844:68	[] :[/SUBSTANCE/CHEMICAL,/SUBSTANCE] .

WSJ1844:69	NEW [BEER] :[/ORGANIZATION] :

WSJ1844:70	[Sibra Products Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Greenwich] :[/GPE,/GPE/CITY] , [Conn.] :[/GPE,/GPE/STATE_PROVINCE] , awarded its [Cardinal Amber Light] :[/ORGANIZATION] [beer] :[/SUBSTANCE/FOOD,/SUBSTANCE] account to Heidelberg & amp ; Associates , [New York] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1844:71	[Budget] :[/ORGANIZATION] is set at $ 1.5 million .

WSJ1844:72	The new [beer] :[/SUBSTANCE/FOOD,/SUBSTANCE] , introduced this week at a liquor industry convention , is imported from [Switzerland] :[/GPE/COUNTRY,/GPE] 's [Cardinal] :[/PERSON] brewery .

WSJ1844:73	[Heidelberg] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's first ads for the brand , which [Sibra] :[/ORGANIZATION] says will compete with imported light beer leader [Amstel Light] :[/PERSON] , feature the line `` The best tasting light [beer] :[/SUBSTANCE] you 've ever seen .

WSJ1845:0	[Diamond-Star Motors Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a joint venture of [Chrysler Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Mitsubishi Motors Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said it will begin shipping [Mitsubishi] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] [Eclipse] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] cars to Japan next week , emulating other Japanese auto ventures shipping U.S.-built vehicles back to [Japan] :[/GPE/COUNTRY,/GPE] .

WSJ1845:1	[Diamond-Star] :[/ORGANIZATION] said it will export about 1,500 [Eclipse] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] cars to [Japan] :[/GPE/COUNTRY,/GPE] by year 's end .

WSJ1845:2	[Honda Motor Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , the first Japanese auto maker to ship cars to [Japan] :[/GPE/COUNTRY,/GPE] from the [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] , is now exporting more than 5,000 [Accord Coupes] :[/SUBSTANCE] a year from its [Marysville] :[/GPE,/GPE/CITY] , [Ohio] :[/GPE,/GPE/STATE_PROVINCE] , factory .

WSJ1848:0	[Randy Delchamps] :[/PERSON] was named chairman and chief executive officer of this grocery chain .

WSJ1848:1	Mr. Delchamps , 46 years old , succeeds A.F . [Delchamps] :[/PERSON] Jr. , who died in a plane crash on Sunday at the age of 58 .

WSJ1848:2	[Randy Delchamps] :[/PERSON] retains his position as president .

WSJ1690:0	[William Bennett] :[/PERSON] , the [White House] :[/ORGANIZATION/MUSEUM,/ORGANIZATION] drug-policy director , accused local officials in the [Washington] :[/GPE,/GPE/CITY] area of blocking construction of prison facilities to house convicted drug dealers .

WSJ1690:1	`` Politics has essentially put up a roadblock '' to finding sites for new federal prisons , Mr. [Bennett] :[/PERSON] said at a news conference called to report on his `` emergency assistance program '' for the capital .

WSJ1690:2	Without more space to incarcerate convicted criminals , he added , `` we will not win the war on [drugs] :[/SUBSTANCE/DRUG,/SUBSTANCE] . ''

WSJ1690:3	Mr. [Bennett] :[/PERSON] declared in April that he would make [Washington] :[/GPE,/GPE/CITY] a `` test case '' for how the [Bush] :[/PERSON] administration would aid cities afflicted by heavy drug trafficking and violence .

WSJ1690:5	He acknowledged , however , that [Washington] :[/GPE,/GPE/CITY] 's `` drug-related murder rate is intolerably high .

WSJ1690:7	[Drugs] :[/SUBSTANCE/DRUG,/SUBSTANCE] continue to be sold openly around schools , parks and housing projects . ''

WSJ1690:8	Mr. [Bennett] :[/PERSON] declined to name the area officials who he believes have impeded plans for building more federal prisons to ease [Washington] :[/GPE,/GPE/CITY] 's problem .

WSJ1690:9	But other [Bush] :[/PERSON] administration officials have criticized [Maryland] :[/GPE,/GPE/STATE_PROVINCE] Gov . [William Schaefer] :[/PERSON] for blocking the use of possible sites in that state .

WSJ1690:10	Administration officials also have said that [Washington] :[/GPE,/GPE/CITY] Mayor [Marion Barry] :[/PERSON] has delayed consideration of sites in the city .

